,Green,Yellow,Combined_Score
murre,1525,2009,3534
csnet,1186,3405,4591
hades,1235,3465,4700
fugal,978,2541,3519
bleak,1154,3243,4397
lewis,947,3382,4329
davis,1119,2727,3846
crock,1226,1685,2911
amino,928,3564,4492
refer,1065,1671,2736
wyatt,1046,2012,3058
party,1628,2709,4337
stark,1294,3189,4483
wring,1025,2379,3404
yearn,1264,4015,5279
punic,977,2391,3368
ladle,1498,2702,4200
erode,1409,2514,3923
gnome,1205,2807,4012
waite,1689,3121,4810
torah,1310,3474,4784
caine,1893,3258,5151
latin,1306,3561,4867
seize,1736,1535,3271
berne,1728,1978,3706
gunky,1152,1515,2667
power,1186,2913,4099
czech,895,1730,2625
stupa,995,3169,4164
wyner,925,3188,4113
bronx,1145,2142,3287
notre,1416,3695,5111
atone,1420,4014,5434
palsy,1551,2628,4179
marry,1630,1850,3480
strom,1092,3096,4188
minim,986,1172,2158
shawl,1245,2665,3910
dutch,961,2120,3081
xenon,1044,2202,3246
melon,1212,3305,4517
blitz,1060,2064,3124
rapid,1043,3245,4288
excel,792,2210,3002
lapse,1478,3548,5026
comet,1428,2856,4284
livid,850,1624,2474
tunic,962,2831,3793
alsop,862,3680,4542
niche,1030,3249,4279
creon,1294,3571,4865
altar,1083,3135,4218
cobol,1157,1694,2851
radii,1005,2847,3852
bough,1142,1708,2850
upton,707,2944,3651
smite,1594,2914,4508
extol,691,3499,4190
skiff,867,1440,2307
ninth,923,2176,3099
stunk,1115,2319,3434
roost,1298,2450,3748
robin,1110,3017,4127
loire,1655,3583,5238
ready,1419,3533,4952
adept,839,3762,4601
naked,1063,3339,4402
mummy,1066,552,1618
della,1105,3095,4200
crumb,903,2218,3121
allot,1174,2917,4091
toast,1475,2596,4071
jules,1038,2817,3855
gauss,1200,2058,3258
yemen,1112,2146,3258
hatch,1147,2241,3388
bread,1209,3562,4771
oxide,1062,2762,3824
ouvre,1177,3046,4223
timon,1004,2957,3961
hilly,1230,1670,2900
pease,1744,2386,4130
selma,1293,3737,5030
guise,1513,2684,4197
marty,1608,2733,4341
ecole,1222,2657,3879
sulky,1441,1794,3235
orbit,1018,3157,4175
slime,1692,2851,4543
whiff,684,1208,1892
okapi,566,3394,3960
scarp,1186,3202,4388
vodka,822,2470,3292
amity,1237,2940,4177
chaos,1188,3157,4345
helen,1324,2331,3655
yucca,746,2439,3185
snake,1592,3200,4792
sedan,1448,3545,4993
rhino,948,3301,4249
woody,1342,891,2233
joint,1295,2284,3579
girth,1091,2655,3746
seamy,1748,2965,4713
tibia,985,2571,3556
hager,1261,3537,4798
sprue,1483,2923,4406
vixen,987,2409,3396
cider,1204,3297,4501
swept,1092,2733,3825
chess,1042,2395,3437
mealy,1583,3150,4733
ascii,636,3152,3788
death,1302,3383,4685
staph,1182,2903,4085
cumin,1138,2234,3372
major,1054,2847,3901
valve,1381,2520,3901
idiom,658,2115,2773
alien,1435,3997,5432
usual,726,3037,3763
bible,1386,2239,3625
young,892,2432,3324
annul,842,2858,3700
broth,1265,2525,3790
beige,1628,1492,3120
diana,1242,2354,3596
caddy,1416,1656,3072
index,655,3040,3695
swamp,1045,2325,3370
above,1159,3186,4345
caper,1386,3552,4938
nixon,806,1919,2725
folly,1392,1266,2658
crump,956,2203,3159
query,1202,2509,3711
dryad,913,2613,3526
foist,1366,2459,3825
toefl,1074,3292,4366
eject,848,2112,2960
titan,1142,2829,3971
place,1633,3132,4765
eaten,1401,3091,4492
goren,1471,3170,4641
senor,1408,3718,5126
taxon,1153,2920,4073
grade,1547,3217,4764
proud,1052,2480,3532
janos,1097,2984,4081
ranch,1192,3217,4409
davit,1262,2569,3831
viral,1081,3368,4449
salvo,1304,2989,4293
folio,1116,1868,2984
mecum,809,2271,3080
fully,1254,1061,2315
soupy,1563,1869,3432
dully,1262,1298,2560
force,1610,2683,4293
preen,1402,2342,3744
raoul,1205,3693,4898
aerie,1704,3088,4792
whoop,838,1286,2124
giant,1347,3015,4362
sooth,1523,1676,3199
ethos,577,4048,4625
print,1378,2706,4084
freya,914,3793,4707
sweat,1291,3490,4781
baton,1370,3036,4406
mazda,976,1406,2382
muong,1010,2175,3185
catch,1305,2083,3388
cotty,1484,1513,2997
audio,947,3377,4324
rigid,858,1993,2851
rainy,1604,3154,4758
nikko,534,2411,2945
leaky,1427,3151,4578
mercy,1488,2641,4129
brawl,1208,2773,3981
shank,1386,2500,3886
abash,1015,2171,3186
vista,833,3388,4221
krill,1098,2057,3155
hydra,683,3363,4046
gorge,1512,2316,3828
offal,557,2914,3471
tower,1171,3353,4524
green,1354,2345,3699
glass,1163,2392,3555
hague,1392,2936,4328
vogel,1138,2704,3842
dolan,1283,3246,4529
topic,957,2802,3759
playa,1054,2249,3303
milky,1184,1921,3105
hokan,1056,2896,3952
chris,1140,2845,3985
click,1186,1515,2701
gavin,1224,2464,3688
charm,1130,2906,4036
arhat,1121,2721,3842
calyx,1007,2540,3547
fetid,1057,2862,3919
nawab,858,1971,2829
sachs,1216,2187,3403
kabul,949,2621,3570
ultra,857,3960,4817
cloth,1209,2625,3834
terry,1515,2420,3935
burtt,1302,1625,2927
soggy,1502,1286,2788
raven,1298,3589,4887
aloof,1006,2465,3471
quill,1002,1436,2438
rodeo,1094,2829,3923
quirk,964,1932,2896
mcgee,1284,1588,2872
agave,1252,2144,3396
koran,1263,3238,4501
meyer,1151,2363,3514
fresh,1100,3032,4132
sport,1324,2860,4184
bourn,1346,2475,3821
risen,1132,3957,5089
shard,1363,2980,4343
kruse,1368,2887,4255
tidal,1029,3511,4540
truck,1048,2381,3429
plait,1405,3085,4490
josef,974,2569,3543
clive,1481,2548,4029
plush,1049,2278,3327
loose,1610,2530,4140
goofy,1344,809,2153
nasal,1129,2848,3977
topsy,1309,2385,3694
snout,1245,2846,4091
degas,1043,3528,4571
oxbow,375,1256,1631
thief,1094,2859,3953
panda,1185,1942,3127
reach,1252,3770,5022
buxom,803,1641,2444
askew,670,3535,4205
maser,1342,3861,5203
leech,1127,2330,3457
whelp,775,2729,3504
felon,1181,3137,4318
motel,1319,3246,4565
elder,1036,2841,3877
axial,1019,2239,3258
latex,1190,3450,4640
draft,1221,2828,4049
depot,1087,3064,4151
lisle,1291,2812,4103
empty,883,2859,3742
thigh,963,1714,2677
qualm,936,2429,3365
feign,1201,2575,3776
frame,1531,3037,4568
front,1301,2625,3926
mayor,1092,3330,4422
shred,1406,2971,4377
japan,1130,1569,2699
aorta,1286,2978,4264
month,1173,2403,3576
rupee,1388,2142,3530
these,1381,2302,3683
pride,1522,2800,4322
human,986,2778,3764
deify,1347,2290,3637
healy,1516,3297,4813
honey,1550,2730,4280
servo,1264,3236,4500
admix,616,2672,3288
stood,1156,2009,3165
realm,1124,4099,5223
payne,1548,3098,4646
harpy,1402,2594,3996
sloop,1271,1879,3150
irvin,960,2014,2974
llama,1061,1667,2728
heard,1220,3673,4893
fleck,982,2481,3463
lemon,1054,3463,4517
warty,1529,2598,4127
stink,1233,2507,3740
spoof,1039,1456,2495
droop,1045,1888,2933
soapy,1754,2471,4225
chute,1428,2593,4021
passe,1588,2542,4130
cycad,793,2279,3072
edith,842,3356,4198
midst,1057,2511,3568
debby,1103,1786,2889
fifth,836,1691,2527
cubby,1107,1084,2191
embed,743,2007,2750
harsh,1273,2584,3857
mango,1092,2886,3978
spoke,1458,2507,3965
grump,837,2098,2935
ghent,1097,2914,4011
guano,1149,2988,4137
decoy,1258,2790,4048
women,1225,2622,3847
hondo,930,1831,2761
churn,1135,2481,3616
poach,1373,2532,3905
braid,1358,2892,4250
crone,1705,3160,4865
yates,1194,3940,5134
dylan,941,3225,4166
myrrh,925,1683,2608
robot,1083,2187,3270
beaux,1160,2720,3880
flake,1456,2784,4240
lusty,1167,2644,3811
moose,1653,2031,3684
somal,1403,3143,4546
pusey,1403,2513,3916
proof,1055,1633,2688
nehru,682,3745,4427
sword,1135,2464,3599
dwyer,806,2980,3786
madam,1103,1215,2318
haiku,1011,2690,3701
fauna,1261,1784,3045
becky,1242,2061,3303
usage,1128,3556,4684
staid,1315,3205,4520
brain,1499,3078,4577
bevel,1275,1632,2907
baron,1493,3121,4614
habit,1241,2835,4076
wolve,1332,2345,3677
study,1297,2104,3401
alger,1137,4037,5174
slope,1644,2932,4576
canis,1381,3220,4601
opera,761,4504,5265
daunt,1379,2772,4151
karol,1232,3352,4584
gruff,768,1532,2300
paula,1265,2058,3323
savvy,1507,1527,3034
hiatt,1274,2404,3678
clare,1726,3672,5398
usher,633,3857,4490
glade,1481,3110,4591
cleat,1327,3863,5190
dixon,907,2304,3211
steep,1229,2370,3599
laura,1237,2719,3956
erato,1144,4546,5690
gorky,1362,1904,3266
flint,1261,2455,3716
swain,1407,2805,4212
blare,1716,3465,5181
bogus,1023,2183,3206
smash,1274,1954,3228
gable,1495,3008,4503
court,1389,2697,4086
suave,1730,2750,4480
tatty,1490,1342,2832
peter,1287,2505,3792
north,1121,3084,4205
music,861,2574,3435
aster,967,4657,5624
argon,1105,3502,4607
bauer,1508,3376,4884
alike,1451,3453,4904
adieu,951,3857,4808
spree,1748,2059,3807
modal,1150,3006,4156
abbey,1151,2644,3795
dealt,1403,3658,5061
burro,1138,1870,3008
cover,1289,2950,4239
ampex,735,3024,3759
quail,1142,2688,3830
stoop,1106,2009,3115
apron,1022,3630,4652
credo,1043,3495,4538
shrug,1061,2394,3455
scuba,922,2958,3880
perth,1237,3075,4312
miaow,1064,2841,3905
gizmo,641,2101,2742
carol,1446,3468,4914
aware,1458,2655,4113
essex,664,1703,2367
broad,1265,3022,4287
saudi,1285,2973,4258
theme,1261,1986,3247
maybe,1329,2906,4235
mount,1310,2345,3655
debut,1019,2751,3770
oxeye,897,2115,3012
least,1399,4052,5451
gould,1061,2253,3314
glean,1175,3743,4918
guest,1149,3004,4153
volvo,821,1204,2025
edgar,685,4079,4764
ethan,753,4259,5012
idaho,620,3625,4245
ohmic,623,2799,3422
exude,1005,1571,2576
nroff,764,2301,3065
sylow,929,2590,3519
aside,1244,3841,5085
amply,974,2769,3743
flunk,980,1854,2834
assai,675,2498,3173
slant,1634,3204,4838
david,1088,1882,2970
sorry,1807,1659,3466
heine,1615,2049,3664
levin,1089,3138,4227
pliny,1469,2160,3629
ditto,901,2293,3194
defer,1115,2107,3222
trunk,1082,2545,3627
dwell,836,2198,3034
steal,1250,4201,5451
hying,765,2443,3208
gorse,1616,3088,4704
danny,1547,1723,3270
abbot,815,2778,3593
bobby,1235,684,1919
snuff,835,1694,2529
fairy,1634,2552,4186
about,935,3257,4192
shake,1671,2828,4499
iliad,1014,2665,3679
sneer,1340,2844,4184
title,1384,2704,4088
exile,1214,2078,3292
missy,1225,1575,2800
plaza,1060,1728,2788
urban,964,3307,4271
gibbs,700,1870,2570
faber,1282,3244,4526
plain,1372,3070,4442
waldo,1002,2940,3942
poesy,1492,2767,4259
hefty,1169,2458,3627
tyler,1001,3830,4831
wreak,1060,3338,4398
notch,998,2753,3751
decay,1324,3174,4498
showy,1393,1750,3143
chuck,983,1036,2019
leafy,1400,3134,4534
bedim,1058,2597,3655
blimp,998,2077,3075
cagey,1690,2713,4403
pinch,1067,2222,3289
hines,1124,3416,4540
sleep,1394,2240,3634
marie,1787,3445,5232
tramp,1061,3137,4198
snafu,1001,2920,3921
cajun,1140,2337,3477
washy,1201,2392,3593
eater,1320,3428,4748
order,1041,2882,3923
cream,1164,3778,4942
scare,1692,3686,5378
sunny,1609,1258,2867
error,1102,2335,3437
hyena,827,3903,4730
sense,1813,1302,3115
randy,1359,2980,4339
pouch,1182,1930,3112
nancy,1412,1987,3399
newel,1038,2323,3361
lange,1517,3401,4918
award,1002,2171,3173
yokel,1015,3113,4128
image,1167,3387,4554
elsie,1324,2779,4103
tulle,1415,2367,3782
inset,934,3947,4881
tally,1520,2208,3728
bloch,1199,2172,3371
faint,1489,2723,4212
addle,1115,3085,4200
scamp,1047,2712,3759
bonus,1133,2495,3628
thumb,666,2152,2818
chili,1003,1933,2936
wheel,1095,1973,3068
prexy,1217,2358,3575
peril,1315,3417,4732
price,1626,2825,4451
gypsy,934,1348,2282
codex,1176,2358,3534
drift,1148,2414,3562
hairy,1598,2867,4465
swirl,1245,2727,3972
clasp,1201,3014,4215
mince,1443,2756,4199
splat,1273,3188,4461
donor,1144,2166,3310
civic,912,795,1707
press,1122,2685,3807
caulk,1283,2504,3787
mambo,905,2267,3172
leapt,1257,3754,5011
bosch,1158,2193,3351
metro,1044,3694,4738
garth,1309,2924,4233
fleet,1318,2106,3424
sloth,1387,2708,4095
nerve,1339,2156,3495
evans,907,3787,4694
geigy,1394,1907,3301
cabal,1315,1986,3301
afoot,1007,2429,3436
slide,1705,2884,4589
plato,1165,3362,4527
flute,1391,2632,4023
bruce,1569,2538,4107
muzak,857,1923,2780
fetus,942,3061,4003
perch,1237,2829,4066
yukon,755,2463,3218
reich,1179,3356,4535
venal,1107,3607,4714
bound,1217,2021,3238
choke,1394,2394,3788
rilly,1224,2225,3449
ashen,906,4121,5027
hinge,1275,2780,4055
toddy,1238,1630,2868
lamar,1159,2638,3797
patsy,1508,2636,4144
scale,1657,3548,5205
elute,1355,2427,3782
berth,1298,2976,4274
tempt,1002,2161,3163
maria,1395,2411,3806
crept,1194,3213,4407
humus,724,1711,2435
dolce,1538,2827,4365
guile,1497,2720,4217
candy,1523,2362,3885
spica,1218,3006,4224
blade,1590,3008,4598
chang,1117,2614,3731
humid,839,2111,2950
trout,1211,2260,3471
regis,987,3680,4667
loess,1129,3011,4140
skull,1056,1600,2656
blinn,1340,1672,3012
paine,1822,3150,4972
sykes,1053,2113,3166
widen,1115,2741,3856
stone,1652,3266,4918
freon,1172,3319,4491
jumbo,542,1895,2437
mayst,1215,2933,4148
degum,805,2537,3342
verne,1525,1970,3495
euler,1133,2857,3990
stile,1631,3333,4964
intra,718,4322,5040
mania,1323,2227,3550
pearl,1391,3828,5219
minos,1012,2964,3976
halve,1436,2985,4421
filly,1266,1355,2621
lyric,782,3282,4064
motto,1050,1193,2243
aries,1391,4277,5668
serge,1781,1981,3762
watch,1135,2479,3614
meter,1267,2529,3796
gnarl,1071,3490,4561
label,1294,2818,4112
hobby,1087,1352,2439
piano,1209,3279,4488
hubby,949,1147,2096
shall,1412,2272,3684
allay,1397,1470,2867
amble,1117,3435,4552
pleat,1256,3755,5011
found,1105,1976,3081
livre,1274,3209,4483
roman,1118,3538,4656
joust,1146,2190,3336
agent,999,3884,4883
boyle,1470,2771,4241
spiny,1519,2090,3609
clara,1334,2638,3972
turvy,1233,2062,3295
gland,1163,2815,3978
tweed,966,2033,2999
musky,1084,1695,2779
drury,1362,1371,2733
rufus,661,2124,2785
sepal,1355,3671,5026
jowly,1118,1583,2701
sling,1307,2574,3881
poppy,1182,775,1957
monad,1173,2900,4073
drove,1407,2703,4110
sousa,1438,2371,3809
twirl,981,2976,3957
mateo,1315,3746,5061
boyce,1483,2477,3960
dewey,1386,1331,2717
never,1046,2449,3495
prank,1288,2707,3995
whore,1372,2811,4183
walla,1169,1345,2514
blind,1199,2299,3498
bette,1571,1114,2685
creak,1230,3557,4787
fault,1324,2665,3989
stein,1301,3580,4881
snipe,1506,2950,4456
texas,989,3631,4620
scald,1201,3064,4265
yoder,1075,3427,4502
janus,1011,2727,3738
susie,1658,2148,3806
mucus,785,1745,2530
aural,1228,2728,3956
cloak,1220,2910,4130
bator,1289,3373,4662
nonce,1445,2351,3796
byway,1063,1532,2595
vying,710,2165,2875
boris,1351,2839,4190
hindu,708,2615,3323
actor,805,4074,4879
billy,1378,1400,2778
scaup,1072,2846,3918
unite,1221,3383,4604
salem,1584,3446,5030
waals,1324,2066,3390
bandy,1513,2155,3668
stint,1396,2059,3455
torch,1250,2757,4007
remit,1117,3584,4701
tracy,1559,2957,4516
siena,1379,4033,5412
splay,1430,2749,4179
tilth,1044,2138,3182
clime,1514,2768,4282
knack,881,2224,3105
codon,1232,1624,2856
barry,1711,1727,3438
bluff,811,1323,2134
lowry,1243,2469,3712
gamut,1136,2547,3683
adorn,1023,3679,4702
other,724,4094,4818
genus,996,3109,4105
bunny,1421,968,2389
winch,968,2111,3079
aesop,970,4102,5072
sumac,1109,2813,3922
inane,1353,3183,4536
their,1036,3745,4781
butte,1461,1823,3284
tipsy,1183,2474,3657
blake,1568,2829,4397
patti,1100,2494,3594
sheep,1309,1949,3258
quake,1334,2406,3740
cress,1193,2793,3986
clung,1011,2303,3314
canon,1431,2331,3762
verdi,857,3216,4073
linus,883,3206,4089
gouda,1034,2776,3810
habib,964,2251,3215
ulcer,926,3679,4605
broil,1343,2867,4210
spasm,1175,1969,3144
naomi,971,3521,4492
ethel,809,2894,3703
blush,1110,2179,3289
squaw,941,2190,3131
farce,1702,3041,4743
aloft,1116,3216,4332
midge,1235,2413,3648
boron,1401,1821,3222
amber,907,3818,4725
miles,1183,3360,4543
tacky,1286,2446,3732
smile,1581,2962,4543
flank,1171,2456,3627
crash,1377,3095,4472
janet,1419,3131,4550
jolla,1023,2265,3288
among,834,3144,3978
theta,986,3213,4199
hodge,1294,2471,3765
model,1263,2927,4190
adobe,1151,3493,4644
clash,1311,2988,4299
tribe,1446,3213,4659
shout,1324,2474,3798
night,767,2723,3490
forgo,1041,1602,2643
ravel,1241,3729,4970
norse,1520,3606,5126
droll,1172,2221,3393
lumen,1123,3051,4174
elmer,1020,2811,3831
kapok,944,2111,3055
zesty,1148,2658,3806
ernie,1486,2727,4213
point,1448,2509,3957
haifa,1156,1902,3058
trash,1291,3427,4718
basal,1334,2228,3562
magic,1077,2666,3743
enter,928,3241,4169
hurst,1157,2768,3925
prism,1118,2608,3726
exist,948,3185,4133
groin,1291,2829,4120
posit,1265,2755,4020
swiss,1173,834,2007
flood,1021,1544,2565
revel,1121,2457,3578
evict,943,3051,3994
fruit,1229,2446,3675
wiley,1404,2628,4032
etude,1086,2286,3372
reese,1496,1875,3371
alloy,1331,2478,3809
claim,1247,3001,4248
vicky,941,1630,2571
worst,1283,2691,3974
zeiss,1054,2217,3271
easel,1299,3291,4590
scarf,1153,3040,4193
bowel,1271,2617,3888
logan,1161,3273,4434
terra,1248,3500,4748
gregg,859,2027,2886
clint,1383,2707,4090
arise,1646,4022,5668
bench,1226,2546,3772
telex,1161,2087,3248
squat,1212,2554,3766
trend,1107,3548,4655
wrote,1501,3023,4524
penal,1249,3714,4963
bleed,1256,1950,3206
sloan,1528,3391,4919
trans,1293,3718,5011
leila,1200,3419,4619
